Latitude,▲Latitude,Longitude,▲Longitude
33.10927,33.10927,-96.66035,-96.66035
33.10939,0.00012,-96.66053,-0.00018
33.10941,0.00002,-96.66052,0.000009999999989
33.10942,0.00001,-96.66052,0
33.10941,-0.00001,-96.66053,-0.000009999999989
33.10941,0,-96.66055,-0.00002000000001
33.1095,0.00009,-96.66035,0.0002
33.10955,0.00005,-96.66026,0.00009
33.10956,0.00001,-96.66022,0.00004
33.10956,0,-96.6602,0.00001999999999
33.10957,0.000009999999996,-96.66019,0.00001
33.10954,-0.00003,-96.66011,0.00008
33.1095,-0.00004000000001,-96.66002,0.00009
33.10948,-0.00002,-96.66,0.00002000000001
33.10948,0,-96.66,0
33.10947,-0.000009999999996,-96.65996,0.00004
33.10947,0,-96.65993,0.00003
33.10947,0,-96.65992,0.00001
33.10949,0.00002,-96.65991,0.00001
33.10949,0,-96.6599,0.00001
33.10948,-0.00001,-96.6599,0
33.10948,0,-96.6599,0
33.10948,0,-96.6599,0
33.10946,-0.00002,-96.65989,0.000009999999989
33.10946,0,-96.65989,0
33.10945,-0.000009999999996,-96.65987,0.00002000000001
33.10946,0.000009999999996,-96.65987,0
33.10946,0,-96.65987,0
33.10946,0,-96.65987,0
33.10946,0,-96.65987,0
33.10947,0.00001,-96.65986,0.00001
33.10949,0.00002,-96.65986,0
33.10948,-0.00001,-96.65986,0
33.10948,0,-96.65985,0.000009999999989
33.10948,0,-96.65984,0.00001
33.10948,0,-96.65984,0
33.10948,0,-96.65984,0
33.10947,-0.000009999999996,-96.65984,0
33.10946,-0.00001,-96.65985,-0.00001
33.10946,0,-96.65985,0
33.10946,0,-96.65985,0
33.10946,0,-96.65985,0
33.10946,0,-96.65984,0.00001
33.10946,0,-96.65984,0
33.10946,0,-96.65984,0
33.10946,0,-96.65984,0
33.10945,-0.000009999999996,-96.65984,0
33.10946,0.000009999999996,-96.65984,0
33.10946,0,-96.65984,0
33.10946,0,-96.65984,0
33.10946,0,-96.65984,0
33.10945,-0.000009999999996,-96.65984,0
33.10946,0.000009999999996,-96.65984,0
33.10946,0,-96.65984,0
33.10946,0,-96.65984,0
33.10946,0,-96.65984,0
33.10947,0.00001,-96.65985,-0.00001
33.10947,0,-96.65985,0
33.10947,0,-96.65985,0
33.10947,0,-96.65984,0.00001
33.10947,0,-96.65984,0
33.10947,0,-96.65984,0
33.10947,0,-96.65984,0
33.10947,0,-96.65984,0
33.10947,0,-96.65984,0
33.10947,0,-96.65984,0
33.10947,0,-96.65984,0
33.10947,0,-96.65984,0
33.10947,0,-96.65984,0
33.10947,0,-96.65984,0
33.10947,0,-96.65984,0
33.10947,0,-96.65984,0
33.10947,0,-96.65984,0
33.10947,0,-96.65983,0.00001
33.10947,0,-96.65982,0.00001
33.10948,0.000009999999996,-96.65982,0
33.10948,0,-96.65981,0.00001
33.10948,0,-96.65981,0
33.10948,0,-96.65981,0
33.10947,-0.000009999999996,-96.65981,0
33.10947,0,-96.65981,0
33.10948,0.000009999999996,-96.65981,0
33.10948,0,-96.65981,0
33.10948,0,-96.65981,0
33.10948,0,-96.65981,0
33.10948,0,-96.65981,0
33.10948,0,-96.65982,-0.00001
33.10948,0,-96.65982,0
33.10948,0,-96.65982,0
33.10948,0,-96.65982,0
33.10948,0,-96.65981,0.00001
33.10948,0,-96.65982,-0.00001
33.10948,0,-96.65982,0
33.10948,0,-96.65982,0
33.10948,0,-96.65982,0
33.10948,0,-96.65983,-0.00001
33.10948,0,-96.65983,0
33.10948,0,-96.65983,0
33.10948,0,-96.65983,0
33.10948,0,-96.65983,0
33.10948,0,-96.65982,0.00001
33.10948,0,-96.65982,0
33.10948,0,-96.65982,0
33.10948,0,-96.65982,0
33.10948,0,-96.65982,0
33.10948,0,-96.65982,0
33.10947,-0.000009999999996,-96.65982,0
33.10947,0,-96.65982,0
33.10947,0,-96.65982,0
33.10947,0,-96.65982,0
33.10947,0,-96.65982,0
33.10947,0,-96.65982,0
33.10947,0,-96.65982,0
33.10947,0,-96.65982,0
33.10947,0,-96.65982,0
33.10947,0,-96.65982,0
33.10947,0,-96.65982,0
33.10948,0.000009999999996,-96.65981,0.00001
33.10948,0,-96.65981,0
33.10948,0,-96.65981,0
33.10948,0,-96.65981,0
33.10948,0,-96.65982,-0.00001
33.10949,0.00001,-96.65981,0.00001
33.10949,0,-96.65981,0
33.10949,0,-96.65981,0
33.10949,0,-96.65981,0
33.10949,0,-96.65981,0
33.10949,0,-96.65981,0
33.10949,0,-96.65981,0
33.10949,0,-96.65981,0
33.10948,-0.00001,-96.65981,0
33.10948,0,-96.65981,0
33.10948,0,-96.6598,0.000009999999989
33.10949,0.00001,-96.65981,-0.000009999999989
33.10985,0.00036,-96.65984,-0.00003000000001
33.11025,0.0004,-96.65975,0.00009
33.11076,0.00051,-96.65965,0.0001
33.11141,0.00065,-96.65948,0.00017
33.112,0.00059,-96.65924,0.00024
33.11254,0.00054,-96.65907,0.00017
33.11309,0.00055,-96.65881,0.00026
33.11374,0.00065,-96.65846,0.00035
